gamma,delta_left,delta_right,Z_prime,abs_Z_prime,inv_abs_Z_prime,delta_min,delta_geom,delta_prod,log_delta_sum
29180.810464591,0.7623503089998849,0.696113535999757,-7.366262586829749,7.366262586829749,0.13575405277948072,0.696113535999757,0.728479491316274,0.5306823692684173,-0.6335916113537716
29256.644895295,1.105811066001479,0.16218245499840123,-1.5743947075434566,1.5743947075434566,0.6351647367770372,0.16218245499840123,0.42348926013361776,0.17934315344851898,-1.7184542499810707
29704.34723317,0.9834829100000206,0.6561901780005428,14.100636167618799,14.100636167618799,0.07091878608260495,0.6561901780005428,0.8033379275083464,0.6453518257734053,-0.437959644583682
29851.017439925,0.8309390879985585,0.6771387040025729,-9.997651291035954,9.997651291035954,0.10002349260737022,0.6771387040025729,0.7501073370874489,0.5626610171524238,-0.5750779331506334
31463.703111676,0.6171287229990412,0.7575294339985703,-9.123548694990363,9.123548694990363,0.10960647369034032,0.6171287229990412,0.6837347235863659,0.4674931722377242,-0.7603705351991398
31651.649131357,0.646701903999201,0.4487512730011076,3.654745387725813,3.654745387725813,0.2736168717411683,0.4487512730011076,0.5387098501715757,0.2902083026718815,-1.237156328769426
32718.72424884,0.6390192990002106,1.3273444139995263,-8.149227562237906,8.149227562237906,0.12271101676357953,0.6390192990002106,0.920977033897058,0.8481986969658226,-0.16464035817741457
33376.889978258,1.1165173319968744,0.9608071770053357,23.179085809260133,23.179085809260133,0.04314233996236798,0.9608071770053357,1.035740250175422,1.072757865833446,0.0702327772638699
34085.086845488,0.7581432619990665,0.7891780820064014,11.36977826304119,11.36977826304119,0.08795246282424155,0.7581432619990665,0.7735050390207552,0.5983100453904999,-0.513646188838248
34324.792237229,0.8910974929967779,0.24512832400068874,1.933205605566551,1.933205605566551,0.5172755536816981,0.24512832400068874,0.46736841461476153,0.21843323497951564,-1.5212748718741675
36063.699373024,0.8532924850005656,0.7672716320012114,-6.487306302698095,6.487306302698095,0.15414718426106938,0.7672716320012114,0.8091397391926521,0.6547071175407532,-0.42356729214046107
36366.695865167,0.5310339029965689,1.196087477997935,-10.44145553300326,10.44145553300326,0.09577208817671146,0.5310339029965689,0.7969711423675051,0.6351630017665661,-0.4538736173347686
37195.587157546,0.39473484799964353,0.7453719270051806,-3.0280176730686774,3.0280176730686774,0.33024906323831726,0.39473484799964353,0.5424244411064009,0.29422427430959136,-1.223412964668589
37255.984658254,1.3703531119972467,0.8866704130050493,25.351059380848977,25.351059380848977,0.03944608329683583,0.8866704130050493,1.102293771994269,1.2150515597773535,0.19478651192287247
37428.849100018,1.003725590002432,0.6368935880018398,-10.106349659270627,10.106349659270627,0.09894769463895332,0.6368935880018398,0.799541363774203,0.6392663923859125,-0.44743402198606225
37638.299739101,1.012607119999302,0.9399193979988922,-19.65109793355269,19.65109793355269,0.05088774191555879,0.9399193979988922,0.9755865285248336,0.9517690746391361,-0.049432842271676374
37711.275478972,1.0642100569966715,0.2600143130039214,4.865693105244126,4.865693105244126,0.20552056580021957,0.2600143130039214,0.5260321728391274,0.27670984686185357,-1.2847858060430744
37983.837999657,0.32433064300130354,0.8823540480007068,2.9371338337785518,2.9371338337785518,0.3404679720411392,0.32433064300130354,0.534952760290918,0.2861744557428723,-1.2511536690126466
38861.954767275,0.7519284349982627,0.5064597370001138,9.216714374216727,9.216714374216727,0.10849853422792914,0.5064597370001138,0.6171073467656395,0.3808214774321273,-0.9654245768357312
39147.984721458,0.9560070180014009,0.7183846699990681,11.724646921328942,11.724646921328942,0.08529041485938871,0.7183846699990681,0.8287223818286372,0.6867807861437295,-0.37574012626201697
39799.491064142,0.9299286070017843,1.0233458529983182,-10.64920999015899,10.64920999015899,0.09390367932683336,0.9299286070017843,0.9755196479619356,0.9516385835597787,-0.04956995538982499
40285.34875709,0.4661416260059923,0.669025506998878,8.17690563681854,8.17690563681854,0.12229565124210956,0.4661416260059923,0.5584448385220695,0.31186063767194033,-1.1651988650896559
42489.250727881,0.5636200480003026,0.6869405519973952,5.520420708275085,5.520420708275085,0.1811456142284599,0.5636200480003026,0.622232646917635,0.38717346689012627,-0.948882451521383
48444.571824988,1.1924611720023677,0.2275582919974113,2.7292864042944247,2.7292864042944247,0.36639613872202614,0.2275582919974113,0.520916910432067,0.27135442757409006,-1.3043294617674774
48817.262922839,0.36326415900111897,0.4216566219984088,1.9279959306593348,1.9279959306593348,0.5186732939099206,0.36326415900111897,0.3913728889147851,0.1531727381775047,-1.8761889867434873
48820.115473291,0.4125284469992039,0.596773220000614,4.8386727088378825,4.8386727088378825,0.20666824564792124,0.4125284469992039,0.4961712704878906,0.2461859296575675,-1.4016682169154078
49025.845938936,0.790593509998871,0.6441196870000567,-8.012073184127507,8.012073184127507,0.12481164075998107,0.6441196870000567,0.7136083268886014,0.509236844204749,-0.6748420578765673
49231.280212617,1.15270412999962,0.5862258069973905,18.220366556435263,18.220366556435263,0.0548836378731804,0.5862258069973905,0.8220370483367839,0.6757449088382521,-0.39193962794459847
49590.223268193,0.7193755640037125,0.6045419199945172,-6.816786431711251,6.816786431711251,0.14669668912437456,0.6045419199945172,0.659463937346041,0.4348926846599431,-0.8326559802605455
50017.887341357,0.7188992180017522,0.28687764999631327,4.912088137252963,4.912088137252963,0.2035794090126486,0.28687764999631327,0.4541322695476836,0.20623611824452998,-1.5787335615135292
50358.105655223,1.0240365080026095,0.5590943279967178,8.45015149331308,8.45015149331308,0.11834107362351283,0.5590943279967178,0.7566591063919237,0.5725330032858245,-0.5576848975544763
51078.519620738,0.9374634769992554,0.5990216080026585,16.951599587857366,16.951599587857366,0.05899148306430692,0.5990216080026585,0.7493736580877775,0.5615608794358572,-0.5770350878210311
