h_type,epsilon,k,gamma_0,status,delta_Im,delta_pred_Im,delta_Im_error,Z_prime,inv_abs_Z_prime,h0,C_where,C_where_pred,spacing_prev,spacing_next,local_spacing,residual_abs
h=cos(t/T),1e-05,4850,587322.169065924,ok,3.0314549803733826e-07,3.0356238556236695e-07,4.168875250286972e-10,-28.610174384795815,0.03495260065703849,0.8684972787603941,0.030314549803733822,0.03035623855623669,262.2169768039603,16.482706018025056,16.482706018025056,1.1033366745725014e-24
h=cos(t/T),1e-05,4851,587338.651771942,ok,-2.7904752641916275e-07,-2.792334770161607e-07,1.8595059699795636e-10,31.102648332630555,0.0321516029537226,0.8684900638331323,-0.02790475264191627,-0.027923347701616072,16.482706018025056,26.899822612991557,16.482706018025056,4.475729759413417e-25
h=cos(t/T),1e-05,4852,587365.551594555,ok,9.28645022213459e-07,9.289011571324969e-07,2.561349190378769e-10,-9.349523164955015,0.10695732631032115,0.8684782886563797,0.09286450222134589,0.09289011571324968,26.899822612991557,108.33989622502122,26.899822612991557,4.6810521554248245e-25
h=cos(t/T),1e-05,4853,587473.89149078,ok,-1.4905817806720734e-06,-1.4919949271353292e-06,1.4131464632558062e-09,5.8206019537982225,0.17180353646197227,0.8684308587940932,-0.14905817806720734,-0.1491994927135329,108.33989622502122,93.21004726993851,93.21004726993851,1.8329877940475206e-25
h=cos(t/T),1e-05,4854,587567.10153805,ok,5.438923835754395e-07,5.438647796901771e-07,2.7603885262370963e-11,-15.967021190923905,0.06262908954917824,0.8683900462310219,0.05438923835754394,0.05438647796901771,93.21004726993851,0.996814226033166,0.996814226033166,2.1034870901052152e-25
h=cos(t/T),1e-05,4855,587568.098352276,ok,9.206123650074005e-07,9.21501463737371e-07,8.890987299704664e-10,-9.423637876996297,0.10611613190709121,0.8683896097383018,0.09206123650074004,0.09215014637373709,0.996814226033166,278.03284766501747,0.996814226033166,2.404656052923823e-25
h=cos(t/T),1e-05,4856,587846.131199941,ok,3.973138518631458e-06,3.973496308194228e-06,3.577895627696542e-10,-2.185148214457114,0.45763486128031067,0.8682678363002553,0.3973138518631458,0.3973496308194228,278.03284766501747,79.38832415593788,79.38832415593788,6.84253080979474e-26
h=cos(t/T),1e-05,4857,587925.519524097,ok,-1.8026912584900856e-06,-1.8024176989695132e-06,2.735595205724019e-10,4.817046883848412,0.20759606956556853,0.8682330560214319,-0.18026912584900853,-0.18024176989695131,79.38832415593788,42.0050555029884,42.0050555029884,2.068054501317324e-25
h=cos(t/T),1e-05,4858,587967.5245796,ok,6.972113624215126e-07,6.969449783117633e-07,2.663841097492654e-10,-12.457434643538056,0.08027334909749832,0.8682146517460838,0.06972113624215126,0.06969449783117632,42.0050555029884,180.96749169705436,42.0050555029884,2.5758281669038964e-25
h=cos(t/T),1e-05,4859,588148.492071297,ok,-2.093380317091942e-06,-2.093247631429052e-06,1.32685662889772e-10,4.1473131758474935,0.24111996311820663,0.8681353482137265,-0.20933803170919416,-0.20932476314290518,180.96749169705436,5.145668711978942,5.145668711978942,1.4391870026859909e-25
h=cos(t/T),1e-05,4860,588153.637740009,ok,-1.196633093059063e-06,-1.1953737931717604e-06,1.2592998873025323e-09,7.262440400774914,0.13769476165247405,0.8681330929558149,-0.11966330930590628,-0.11953737931717603,5.145668711978942,24.484558798954822,5.145668711978942,5.248213309772034e-26
h=cos(t/T),1e-05,4861,588178.122298808,ok,3.778957761824131e-06,3.779072432435313e-06,1.1467061118198858e-10,-2.297183705978053,0.4353156421045736,0.8681223615501247,0.37789577618241305,0.3779072432435313,24.484558798954822,54.19896555109881,24.484558798954822,7.920694350996513e-26
h=cos(t/T),1e-05,4862,588232.321264359,ok,1.5442492440342903e-06,1.5443921756960225e-06,1.4293166173219933e-10,-5.620972566112758,0.17790515577832833,0.8680986050906536,0.15442492440342903,0.15443921756960224,54.19896555109881,253.43613925692625,54.19896555109881,2.779129708473088e-25
h=cos(t/T),1e-05,4863,588485.757403616,ok,3.0045630410313606e-06,3.005956545603131e-06,1.3935045717703672e-09,-2.887558351399748,0.3463133479242934,0.8679874927201057,0.30045630410313606,0.30059565456031306,253.43613925692625,246.28717605699785,246.28717605699785,1.0663764672538244e-25
h=cos(t/T),1e-05,4864,588732.044579673,ok,-1.5281839296221733e-06,-1.528055055645965e-06,1.2887397620825426e-10,5.679634838848116,0.1760676572303739,0.867879472972482,-0.15281839296221733,-0.15280550556459652,246.28717605699785,19.642961908015423,19.642961908015423,2.287259065593705e-26
h=cos(t/T),1e-05,4865,588751.687541581,ok,-3.4691765904426575e-07,-3.467973499360433e-07,1.2030910822242147e-10,25.025302416699688,0.03995955706543981,0.8678708559459513,-0.034691765904426575,-0.034679734993604334,19.642961908015423,17.12370804499369,17.12370804499369,1.035845993075814e-24
h=cos(t/T),1e-05,4866,588768.811249626,ok,4.523899406194687e-07,4.5226408688105725e-07,1.25853738411434e-10,-19.189304856027288,0.05211236193821288,0.8678633438593418,0.04523899406194686,0.04522640868810572,17.12370804499369,7.718661157996394,7.718661157996394,8.443913943862007e-25
h=cos(t/T),1e-05,4867,588776.529910784,ok,9.0012326836586e-07,9.007080757788751e-07,5.848074130151606e-10,-9.635307831621835,0.10378495606732244,0.8678599576557229,0.09001232683658598,0.0900708075778875,7.718661157996394,232.65694968902972,7.718661157996394,3.9748448864561276e-25
h=cos(t/T),1e-05,4868,589009.186860473,ok,3.6670826375484467e-07,3.670435370891528e-07,3.352733343081485e-10,-23.641824024427166,0.042297920793538675,0.8677578713165056,0.03667082637548447,0.03670435370891528,232.65694968902972,341.2983561840374,232.65694968902972,7.942471066316827e-25
h=cos(t/T),1e-05,4869,589350.485216657,ok,5.76837919652462e-07,5.772950572342355e-07,4.5713758177344536e-10,-15.028849418172989,0.06653869316108744,0.8676080485028881,0.057683791965246194,0.05772950572342354,341.2983561840374,72.81257854599971,72.81257854599971,6.575112777939265e-25
h=cos(t/T),1e-05,4870,589423.297795203,ok,-7.032649591565132e-07,-7.045180534271991e-07,1.2530942706858837e-09,12.31446193449422,0.08120533445305356,0.8675760751093209,-0.07032649591565132,-0.07045180534271991,72.81257854599971,180.26435484690592,72.81257854599971,6.135145626830126e-25
h=cos(t/T),1e-05,4871,589603.56215005,ok,-5.650799721479416e-07,-5.656163554055491e-07,5.363832576074804e-10,15.337196208475895,0.06520096544421616,0.8674969021577941,-0.05650799721479415,-0.056561635540554905,180.26435484690592,111.18862833501771,111.18862833501771,1.0381549103960421e-25
h=cos(t/T),1e-05,4872,589714.750778385,ok,-4.76837158203125e-07,-4.767823928935898e-07,5.476530953519791e-11,18.19379384722189,0.054963797457378324,0.8674480566291124,-0.04768371582031249,-0.04767823928935898,111.18862833501771,167.0820326510584,111.18862833501771,1.628700907793931e-26
h=cos(t/T),1e-05,4873,589881.832811036,ok,7.097842171788216e-06,7.097761554398873e-06,8.061738934261127e-11,-1.222039701633551,0.8183040196347621,0.8673746412203687,0.7097842171788215,0.7097761554398873,167.0820326510584,142.61246394494083,142.61246394494083,2.17136630220887e-27
h=cos(t/T),1e-05,4874,590024.445274981,ok,1.4304067008197308e-05,1.4310715937663005e-05,6.64892946569787e-09,-0.6060577028557157,1.6500079040131765,0.8673119627400719,1.4304067008197305,1.4310715937663003,142.61246394494083,72.27354922704399,72.27354922704399,2.4359480304866628e-26
h=cos(t/T),1e-05,4875,590096.718824208,ok,-8.437782526016235e-07,-8.435607905279565e-07,2.1746207366702743e-10,10.281181899971383,0.09726508194576185,0.8672801931101577,-0.08437782526016235,-0.08435607905279564,72.27354922704399,180.69878518593032,72.27354922704399,7.745224926834805e-26
h=cos(t/T),1e-05,4876,590277.417609394,ok,-8.859205991029739e-07,-8.861352374886329e-07,2.1463838565893429e-10,9.786325047645446,0.10218340338497098,0.8672007470236254,-0.08859205991029738,-0.08861352374886329,180.69878518593032,119.77097660908476,119.77097660908476,5.074606199831701e-26
h=cos(t/T),1e-05,4877,590397.188586003,ok,-2.1531013771891594e-06,-2.1528457848705657e-06,2.5559231859373623e-10,4.027915433624214,0.24826737712818014,0.8671480763092985,-0.2153101377189159,-0.21528457848705654,119.77097660908476,11.601326836971566,11.601326836971566,1.4824294604902732e-25
h=cos(t/T),1e-05,4878,590408.78991284,ok,1.7486745491623878e-06,1.7482094680420002e-06,4.6508112038762866e-10,-4.9601777694493165,0.20160567755437944,0.8671429739722744,0.17486745491623876,0.1748209468042,11.601326836971566,8.227594824042171,8.227594824042171,3.189798174162196e-27
h=cos(t/T),1e-05,4879,590417.017507664,ok,-1.3847602531313896e-06,-1.3846228040210549e-06,1.3744911033473408e-10,6.262639564006598,0.15967708021188404,0.8671393553688012,-0.13847602531313896,-0.13846228040210548,8.227594824042171,25.165995538933203,8.227594824042171,1.3491406979891648e-25
h=cos(t/T),1e-05,4880,590442.183503203,ok,-1.394655555486679e-06,-1.3965285375679402e-06,1.872982081261132e-09,6.209169833806909,0.16105212560869658,0.8671282867517333,-0.1394655555486679,-0.139652853756794,25.165995538933203,39.78046793304384,25.165995538933203,1.4412364846925682e-26
h=cos(t/T),1e-05,4881,590481.963971136,ok,9.657815098762512e-07,9.657888877453532e-07,7.377869101939783e-12,-8.978264302512171,0.11138010269091701,0.8671107894607039,0.09657815098762511,0.09657888877453531,39.78046793304384,79.84207508596592,39.78046793304384,1.9243066983325017e-25
h=cos(t/T),1e-05,4882,590561.806046222,ok,-1.939479261636734e-06,-1.9392610650838727e-06,2.1819655286132162e-10,4.471165247440262,0.22365534366516626,0.8670756679917,-0.19394792616367337,-0.19392610650838726,79.84207508596592,277.0064025190659,79.84207508596592,1.6460644935393328e-25
h=cos(t/T),1e-05,4883,590838.812448741,ok,2.4924520403146744e-07,2.4948968169692833e-07,2.444776654608953e-10,-34.74908369915459,0.028777737239279465,0.8669537831362,0.02492452040314674,0.024948968169692835,277.0064025190659,24.176798390923068,24.176798390923068,5.060033119125135e-25
h=cos(t/T),1e-05,4884,590862.989247132,ok,7.011694833636284e-07,7.012857441580208e-07,1.1626079439240657e-10,-12.362195437844926,0.08089178051162793,0.8669431427055968,0.07011694833636284,0.07012857441580207,24.176798390923068,67.37893474602606,24.176798390923068,6.360551462059375e-25
h=cos(t/T),1e-05,4885,590930.368181878,ok,-2.87545844912529e-07,-2.87979881826667e-07,4.340369141380082e-10,30.10326558351016,0.03321898739609751,0.8669134865336027,-0.028754584491252896,-0.028797988182666694,67.37893474602606,122.94216342398431,67.37893474602606,1.2372271480129944e-24
h=cos(t/T),1e-05,4886,591053.310345302,ok,-1.5406403690576553e-06,-1.5392322780515888e-06,1.4080910060665767e-09,5.631764479007374,0.17756424362693785,0.8668593668472538,-0.15406403690576553,-0.15392322780515888,122.94216342398431,11.819575579022057,11.819575579022057,6.60445651538964e-26
h=cos(t/T),1e-05,4887,591065.129920881,ok,6.620539352297783e-07,6.625316123945085e-07,4.776771647301791e-10,-13.083966818523196,0.07642942036388252,0.8668541632792419,0.06620539352297783,0.06625316123945084,11.819575579022057,43.032718974980526,11.819575579022057,2.5867081362137966e-25
h=cos(t/T),1e-05,4888,591108.162639856,ok,-6.186310201883316e-07,-6.189810960467097e-07,3.5007585837808727e-10,14.004227638997737,0.07140700835334098,0.8668352173274444,-0.06186310201883315,-0.061898109604670966,43.032718974980526,80.03822208801284,43.032718974980526,3.0574186474308973e-25
h=cos(t/T),1e-05,4889,591188.200861944,ok,-7.586786523461342e-07,-7.58668189583983e-07,1.046276215118645e-11,11.425284302001929,0.0875251743035209,0.8667999756882102,-0.07586786523461342,-0.07586681895839828,80.03822208801284,6.999991756980307,6.999991756980307,8.66827054119947e-26
h=cos(t/T),1e-05,4890,591195.200853701,ok,-2.119923010468483e-06,-2.119676768690065e-06,2.462417784181319e-10,4.089288075043432,0.2445413435416577,0.8667968933150877,-0.21199230104684827,-0.2119676768690065,6.999991756980307,209.19716622505803,6.999991756980307,4.4084552431802593e-26
h=cos(t/T),1e-05,4891,591404.398019926,ok,-1.1117663234472275e-06,-1.1119016759074397e-06,1.3535246021219142e-10,7.794796779493056,0.12829070831337777,0.8667047602476241,-0.11117663234472273,-0.11119016759074396,209.19716622505803,40.655012888950296,40.655012888950296,3.1723628641826506e-25
h=cos(t/T),1e-05,4892,591445.053032815,ok,-3.343448042869568e-07,-3.3350800179482557e-07,8.368024921312172e-10,25.986988233295637,0.038480796274758665,0.8666868518352072,-0.03343448042869568,-0.033350800179482554,40.655012888950296,4.463024434051476,4.463024434051476,1.0937712112672451e-24
h=cos(t/T),1e-05,4893,591449.516057249,ok,-2.1026935428380966e-06,-2.102635323460328e-06,5.821937776860788e-11,4.121898249059404,0.2426066679904568,0.866684885818158,-0.21026935428380963,-0.2102635323460328,4.463024434051476,44.23249685601331,4.463024434051476,6.389616812114079e-26
h=cos(t/T),1e-05,4894,591493.748554105,ok,-1.4744000509381294e-06,-1.4742622709302346e-06,1.3778000789481723e-10,5.878637859908319,0.170107433699887,0.8666654001324893,-0.14744000509381294,-0.14742622709302347,44.23249685601331,25.461028989986517,25.461028989986517,2.723487855792784e-25
h=cos(t/T),1e-05,4895,591519.209583095,ok,6.069894880056381e-07,6.067074768808488e-07,2.820111247893298e-10,-14.284547599012468,0.07000571723175418,0.8666541832181239,0.060698948800563805,0.060670747688084864,25.461028989986517,7.082367421942763,7.082367421942763,4.796556148665156e-25
h=cos(t/T),1e-05,4896,591526.291950517,ok,-7.299240678548813e-07,-7.30043892865066e-07,1.198250101847548e-10,11.871218586405096,0.0842373504220703,0.8666510629871302,-0.07299240678548813,-0.0730043892865066,7.082367421942763,219.97865440498572,7.082367421942763,5.393940148729873e-25
h=cos(t/T),1e-05,4897,591746.270604922,ok,1.4899997040629387e-06,1.489573404865448e-06,4.262991974906345e-10,-5.817465112919007,0.171896174809759,0.8665541315936723,0.14899997040629387,0.1489573404865448,219.97865440498572,44.73660358902998,44.73660358902998,2.599258694758231e-25
h=cos(t/T),1e-05,4898,591791.007208511,ok,-8.383067324757576e-07,-8.387124857634456e-07,4.057532876880051e-10,10.331721889973684,0.0967892874633453,0.8665344148556433,-0.08383067324757576,-0.08387124857634456,44.73660358902998,60.67820793297142,44.73660358902998,1.4685014786100332e-25
h=cos(t/T),1e-05,4899,591851.685416444,ok,6.444752216339111e-07,6.449017365064241e-07,4.2651487251293416e-10,-13.436274411608615,0.07442539273654789,0.8665076700223225,0.06444752216339111,0.0644901736506424,60.67820793297142,4.119327942025848,4.119327942025848,2.106916375009276e-25
h=cos(t/T),1e-05,4900,591855.804744386,ok,1.2757955119013786e-06,1.2759559409279998e-06,1.6042902662112442e-10,-6.791032718936619,0.14725300869358587,0.8665058542763606,0.12757955119013786,0.12759559409279997,4.119327942025848,41.04888552497141,4.119327942025848,2.4778527222902e-25
h=cos(t/T),1e-05,4901,591896.853629911,ok,-9.139766916632652e-07,-9.135308483301676e-07,4.458433330976015e-10,9.485041051663899,0.10542916942089318,0.8664877598372985,-0.09139766916632651,-0.09135308483301675,41.04888552497141,33.94125952804461,33.94125952804461,4.0944066402891516e-25
h=cos(t/T),1e-05,4902,591930.794889439,ok,-2.1578744053840637e-06,-2.1591049423745225e-06,1.2305369904588166e-09,4.013111084089416,0.24918323441497817,0.8664727975955435,-0.21578744053840634,-0.21591049423745223,33.94125952804461,6.521569867967628,6.521569867967628,7.129249952491513e-26
h=cos(t/T),1e-05,4903,591937.316459307,ok,4.1106250137090683e-07,4.1155942522139535e-07,4.969238504885171e-10,-21.053336882097167,0.0474984087130794,0.8664699226188313,0.04110625013709068,0.041155942522139534,6.521569867967628,134.90998485905584,6.521569867967628,8.453116084366712e-25
h=cos(t/T),1e-05,4904,592072.226444166,ok,7.595168426632881e-06,7.596253513004981e-06,1.085086372100072e-09,-1.1405759968511047,0.8767499954065261,0.8664104422929362,0.759516842663288,0.7596253513004981,134.90998485905584,6.268121468019672,6.268121468019672,4.160626778504058e-27
h=cos(t/T),1e-05,4905,592078.494565634,ok,5.832407623529434e-07,5.829039385037456e-07,3.368238491978359e-10,-14.863644268252626,0.06727825168259091,0.8664076784483078,0.058324076235294335,0.05829039385037455,6.268121468019672,183.50328629498836,6.268121468019672,4.444156754621852e-25
h=cos(t/T),1e-05,4906,592261.997851929,ok,2.364395186305046e-07,2.369475102015934e-07,5.079915710887911e-10,-36.56196904620414,0.027350824533992648,0.8663267533565796,0.023643951863050457,0.023694751020159336,183.50328629498836,239.32462603098247,183.50328629498836,3.1528951683757176e-25
