k,Im_rho_0,Re_eps,Im_eps,delta_Re,delta_Im,Ck_Re,Ck_Im
94,2181.252367011,0.49998124555285994,2181.2523760789427,-1.8754447140056918e-05,9.067942755791591e-06,-2.2523919707310798,1.0890516420806662
95,2191.093363046,0.5000090224607733,2191.093366426496,9.022460773278063e-06,3.3804958547989372e-06,1.0835892975251928,0.40599446433032604
96,2195.231687681,0.5000052477437736,2195.231684295555,5.24774377363979e-06,-3.3854448702186346e-06,0.6302492337912984,-0.40658883656167494
97,2260.890259417,0.5000068786035485,2260.8902664730576,6.878603548532425e-06,7.056057711452013e-06,0.826114003087042,0.8474260859625318
98,2287.046158671,0.5000077099416513,2287.046156253631,7.709941651334873e-06,-2.4173687052098103e-06,0.9259569498682159,-0.2903237734095444
99,2297.37264758,0.5000106984594945,2297.3726266916965,1.0698459494529189e-05,-2.0888303424726473e-05,1.2848752130475278,-2.5086661614012065
100,2320.088523204,0.49998942562205373,2320.0885299998104,-1.0574377946270808e-05,6.795810350013198e-06,-1.2699731324409431,0.8161706155702995
101,2320.949531629,0.500014416315851,2320.9495186153313,1.4416315850973582e-05,-1.3013668649364263e-05,1.7313863654717971,-1.562929717772202
102,2322.812632607,0.5000089588438134,2322.8126357680035,8.958843813355877e-06,3.1610034056939185e-06,1.0759489587478899,0.3796336216828075
103,2363.495617654,0.4999988086010133,2363.4956238253826,-1.1913989866885188e-06,6.171382665343117e-06,-0.14308593004710776,0.7411774210095761
104,2422.152084925,0.4999919064253166,2422.1520919586737,-8.093574683398774e-06,7.0336736825993285e-06,-0.9720309265989066,0.8447377845434665
105,2448.988312286,0.5000287409501805,2448.9883278995358,2.874095018046141e-05,1.5613535651937127e-05,3.4517618639573926,1.8751713699964556
106,2452.283365741,0.5000019346328419,2452.283362579783,1.9346328419267422e-06,-3.161217136948835e-06,0.23234763717248236,-0.37965929061129544
107,2540.531661936,0.4999998495928519,2540.5316612844044,-1.5040714812508682e-07,-6.515956556540914e-07,-0.018063761104102457,-0.07825604305998618
108,2559.234296597,0.49999054086710565,2559.234275824494,-9.45913289435163e-06,-2.0772506104549393e-05,-1.1360332203986894,-2.4947590090201612
109,2570.958525662,0.4999883027553144,2570.9585350601556,-1.1697244685582309e-05,9.398155725648394e-06,-1.4048284021771715,1.1287099181355298
110,2692.368718959,0.500015145095557,2692.368699801692,1.5145095557000943e-05,-1.91573080883245e-05,1.8189121424797352,-2.3007752026345636
111,2732.830123558,0.5000067431137345,2732.83012072657,6.743113734497541e-06,-2.8314302653598133e-06,0.8098418001812999,-0.34005218856918323
112,2734.200782969,0.5000064925325715,2734.200785624943,6.492532571455989e-06,2.655942807905376e-06,0.779747231387227,0.3189763052236192
113,2758.858670969,0.49998980452550573,2758.858666998083,-1.0195474494267831e-05,-3.970916623075027e-06,-1.2244671739554507,-0.47690345929491473
114,2770.279093644,0.49999603274033516,2770.279100071369,-3.967259664838796e-06,6.427369044104125e-06,-0.47646426195110214,0.771921151274294
